sports,body_spo
396,'ศึกลา ลีกา สเปน เมื่อวันเสาร์ที่ผ่านมา รีล มาดริด แชมป์เก่า ทำผลงานสุดโหด หลังเปิดสนาม ซานติอาโก เบร์นาเบว ไล่ยำใหญ่ อลาเบส เละเทะ 40 โดยเจ้าถิ่นได้ประตูจาก 3 ประสาน บีบีซี ที่ยิงกันได้ครบทุกคนไล่จาก คริสเตียโน โรนัลโด นาทีที่ 44 กับ 61 แกเรธ เบล นาทีที่ 61 และคาริม เบนเซมา นาทีที่ 89 จุดโทษ จากชัยชนะนัดนี้ทำให้ ราชันชุดขาว มี 51 คะแนนจาก 25 นัดรั้งอันดับ 3 ส่วน อลาเบส มี 28 คะแนนอยู่ที่ 16ผลคู่อื่น เลกาเนส เสมอ ลาส พัลมาส 00                                                                  5'
397,'ศึกกอล์ฟยูโรเปี้ยน ทัวร์ รายการ คอมเมอร์เชียล แบงค์ กาตาร์ มาสเตอร์ส ที่กรุงโดฮา ประเทศกาตาร์ เมื่อวันเสาร์ที่ผ่านมา เป็นการแข่งขันรอบ 3 ผลปรากฎว่า โอลิเวอร์ ฟิสเชอร์ โปรเมืองผู้ดี เก็บเพิ่ม 7 อันเดอร์พาร์ 65 สกอร์รวม 16 อันเดอร์พาร์ 200 ขยับขึ้นมาเป็นผู้นำร่วมกับ เอ็ดดี เปปเปเรลล์ โปรเพื่อนร่วมชาติ ที่รอบนี้เก็บเพิ่มอีก 6 อันเดอรืพาร์ 66 โดยทิ้ง ฌอน ครอกเกอร์ โปรอเมริกัน ที่ตามมาเป็นอันดับ 3 ด้วยสกอร์รวม 14 อันเดอร์พาร์ 202 ห่าง 2 สโตรกขณะที่อันดับ 4 ร่วมมีถึง 5 คนคือ มาร์คุส คินฮัลท์ จากสวีเดน เกรกอรี อาฟเรต์ จากฝรั่งเศส เดวิด ฮอร์ซีย์ จากอังกฤษ อนเดรีย ปาวาน และลอเรนโซ กาญี จากอิตาลี โดยทั้งหมดทำสกอร์รวม 12 อันเดอร์พาร์ 204 เท่ากันสำหรับ โปรช้าง ธงชัย ใจดี นักกอล์ฟหนึ่งเดียวจากไทย ที่เหลือรอดมาถึงรอบนี้ หวดเพิ่ม 3 อันเดอร์พาร์ 69 สกอร์รวม 7 อันเดอร์พาร์ 209 รั้งอันดับ 43 ร่วม                                                                  5'
398,'ศึกเทนนิสดับเบิลยูทีเอทัวร์ รายการ ดูไบ ดิวตี ฟรี เทนนิส แชมเปี้ยนชิพส์ ที่นครดูไบ ประเทศกาตาร์ เมื่อวันเสาร์ที่ผ่านมา เป็นการแข่งขันในรอบชิงชนะเลิศ เอลินา สวิโตลินา มือ 1 ของรายการจากยูเครน ทำผลงานสมราคา หลังไล่ทุบ ดาร์ยา คาซัตกินา สาวรัสเซีย อย่างเหนือชั้น 2 เซตรวด 64 60 คว้าแชมป์รายการที่ 11 ในอาชีพไปครองได้สำเร็จพร้อมทำสถิติคว้าชัยชนะในแมตช์ชิงชนะเลิศได้เป็นครั้งที่ 7 ติดต่อกันนับตั้งแต่เดือนพยปี 2016 เป็นต้นมา                                                                  5'
399,'ศึกเทนนิส เอทีพีเวิลด์ ทัวร์ รายการ โอเพ่น 13 ที่เมืองมาร์กเซย ประเทศฝรั่งเศส เมื่อวันเสาร์ที่ผ่านมา เป็นการแข่งขันในประเภทชายเดี่ยวรอบอรงชนะเลิศ คาเรน คาชานอฟ มือ 9 จากรัสเซีย พลิกล็อกโค้น โทมัส เบอร์ดิช เต็ง 4 จากเช็ก 2 เซตรวด 63 62 ผ่านเข้าสู่รอบชิงชนะเลิศในระดับทัวร์ได้เป็นรายการที่ 2 ในอาชีพสำหรับในรอบชิงดำ คาชานอฟ จกต้องดวลกับ ลูคัส ปุยล์ เต็ง 3 จากฝรั่งเศส ที่เอาชนะ อิลยา อิวาชกา จากเบลารุส มาได้ขาดลอย 2 เซตรวด 63 76 86 เป็นด่านต่อไป                                                                  5'
400,'ศึกพรีเมียร์ลีก อังกฤษ เมื่อวันเสาร์ที่ผ่านมา วัตฟอร์ด ไม่ทำให้กองเชียร์ในวิคาเรจ โรดต้องผิดหวัง หลังเปิดบ้านเฉือน เอฟเวอร์ตัน ลงได้หวุดหวิด 10 เก็บ 3 แต้มอันล้ำค่าได้สำเร็จ โดนเจ้าถิ่นได้ประตูชัยจากการตะบันเต็มข้อของ ทรอย ดีนีย์ ดาวยิงกัปตันทีม ในนาทีที่ 79 ทำให้ แตนอาละวาด มี 33 คะแนนจาก 28 นัดขยับขึ้นมาอยู่ที่ 10 ส่วน ทอฟฟีสีน้ำเงิน มี 34 คะแนนรั้งอันดับ 9                                                                  5'
401,'ศึกกัลโช เซเรีย อา อิตาลี เมื่อวันเสาร์ที่ผ่านมา โบโลญญา ผลงานยังแจ่มแจ๋ว หลังเปิดบ้านไล่ทุบ เจนัว สบายเท้า 20 ทำสถิติคว้าชัยในลีกเป็นเกมที่ 2 ติดต่อกัน โดยเจ้าถิ่นได้ประตูจาก มัตเตีย เดสโตร นาทีที่ 49 และเซซาร์ ฟัลเลตติ นาทีที่ 72 ทำให้ โบโลญญา มี 33 คะแนนจาก 26 นัดอยู่ที่ 11 ส่วน เจนัว มี 30 คะแนนอยู่ที่ 13                                                                  5'
402,'ศึกลา ลีกา สเปน เมื่อวันเสาร์ที่ผ่านมา บาร์เซโลนา ทีมจ่าฝูง ยังคงทำผลงานได้อย่างร้อนแรง หลังเปิดรัง คัมป์ นู ไล่ต้อน คิโรนา งดงาม 61 โดยเกมนี้ทีมเยือนทำเซอร์ไพรส์ขึ้นนำก่อน 10 จาก คริสเตียน ปอร์ตู นาทีที่ 3 อย่างไรก็ตามเมื่อตั้งหลักได้เจ้าถิ่นก็รัวคืน 6 ประตูรวดจาก หลุยส์ ซัวเรซ ที่ทำแฮตทริกในนาทีที่ 5 44 และ76 ลิโอเนล เมสซี นาทีที่ 30 กับ 37 และฟิลิปเป คูตินโญ นาทีที่ 66 จากชัยชนะนัดนี้ทำให้ บาร์ซา มี 65 คะแนนจาก 25 นัดนำโด่งเป็นจ่าฝูง ส่วน คิโรนา มี 34 คะแนนอยู่ที่ 9                                                                  5'
403,'ศึกกัลโช เซเรีย อา อิตาลี เมื่อวันเสาร์ที่ผ่านมา อินเตอร์ มิลาน ไม่ยอมพลาด 3 แต้มสำคัญหลังเปิดบ้านคว่ำ เบเนเวนโต ทีมบ๊วย ลงได้สำเร็จ 20 โดยเจ้าถิ่นได้ประตูจากมิลาน ซาคริเนียร์ นาทีที่ 66 และอันเดรีย ราน็อคเคีย นาทีที่ 69 จากชัยชนะนัดนี้ทำให้ งูใหญ่ มี 51 คะแนนจาก 26 นัดจยับขึ้นไปรั้งอันดับ 3 ชั่วคราว ส่วน เบเนเวนโต มี 10 แต้มยังจมบ๊วย                                                                  5'
404,'เจอร์เกน คล็อปป์ กุนซือเฮฟวีเมทัลของ หงส์แดง ลิเวอร์พูล ยักไหล่เฉยๆ ไม่รู้สึกตื่นเต้นกับการที่ทีมขึ้นไปรั้งอันดับ 2 ของตารางพรีเมียร์ลีก ด้วยการเปิดบ้านถล่ม ขุนค้อน เวสต์แฮม ยูไนเต็ด 41 มีเพิ่มเป็น 57 แต้ม นำหน้า แมนฯ ยูไนเต็ด 1 แต้ม แต่เตะมากกว่า 1 นัด บอกยังไม่ควรให้ความสำคัญเรื่องอันดับในตอนนี้มากเกินไปเอ็มเร ชาน โมโม ซาลาห์ โรแบร์โต ฟีร์มิโน และ ซาดิโอ มาเน แบ่งกันยิงคนละเม็ด ทำยอดพังประตูรวมให้ ลิเวอร์พูล รวมเป็น 103 ประตูในทุกรายการฤดูกาลนี้ ส่วน ซาลาห์ ตะบันรวม 31 ประตูเข้าไปแล้ว เป็นสถิติเท่ากับ หลุยส์ ซัวเรซ ที่ทำไว้ในฤดูกาล 201314มันเป็นช่วงเวลาที่ดีนะ แต่ไม่มีอะไรมากกว่านั้น หากอีกวัน แมนฯ ยูไนเต็ด คว้าชัยชนะ อันดับของเราก็อยู่แค่ไม่กี่่ชั่วโมง และผมไม่คิดว่าควรให้ความสำคัญเกินไป เรายังมีเกมกับ เชลซี แล้วยังต้องเจอ ยูไนเต็ด ใน 2 สัปดาห์ มันสำคัญมาก และเราไม่ต้องการเสียแต้ม เกมต่อไปของเราคือ นิวคาสเซิล และ ราฟา เบนิเตซ เป็นหนึ่งในผู้จัดการทีมที่ดีที่สุดในโลก                                                                  5'
405,'เจ้าแหลม ศรีสะเกษ นครหลวงโปรโมชั่น แชมป์โลกขวัญใจชาวไทย ขึ้นป้องกันแชมป์โลกไฟต์บังคับรุ่นซูเปอร์ฟลายเวต 115 ปอนด์ สภามวยโลก WBC ไฟต์ที่ 2 สมัยที่ 2 กับ ฮวน ฟรานซิสโก เอสตราดา รองแชมป์โลกอันดับ 1 จากเม็กซิโก อดีตแชมป์โลกรุ่นฟลายเวต 2 สถาบันของสมาคมมวยโลกWBA และองค์กรมวยโลก WBO เป็นคู่เอกในศึก ซูเปอร์ฟลาย2 ที่สังเวียนเดอะฟอรัม เมืองอิงเกิลวูดลอสแอนเจลิแคลิฟอร์เนีย สหรัฐอเมริกา เมื่อเช้าวันที่ 25 กพ ที่ผ่านมา ตามเวลาไทย ท่ามกลางแฟนมวยแน่นสนาม โดยเฉพาะแฟนมวยชาวเม็กซิกันที่แห่กันเข้าไปเชียร์นักชกของตนหลายพันคน ขณะที่มีชาวไทยในแอลเอ หลายร้อยคน เข้าไปให้กำลังใจ เจ้าแหลม เช่นกัน โดยผู้จัดศึกนี้ HBO และ 360 โปรโมชั่น จัดโซนพิเศษให้กองเชียร์ชาวไทย ได้เชียร์ร่วมกันด้วย โดยมี มัวริซิโอ สุไลมาน ประธานสภามวยโลก WBC มาควบคุมการชกด้วยตัวเองสำหรับสถิติการชกของคู่นี้ ศรีสะเกษ ชกมา 49 ครั้ง ชนะ 44 ครั้ง ชนะน็อก 40 ครั้ง แพ้ 4 ครั้ง แพ้น็อก 2 เสมอ 1 ครั้ง ไฟต์ล่าสุด เจ้าแหลม ชนะน็อก ช็อกกาลิโต้โรมัน กอนซาเลซ อดีตแชมป์โลก4รุ่น จากนิการากัว ยกที่ 4 ส่วน ฮวน ฟรานซิสโก เอสตราดา เจ้าของฉายา เอล กัลโล่ ชกมา 38 ครั้ง ชนะ 36 ครั้ง ชนะน็อก 25 ครั้ง แพ้ 2 ครั้ง ล่าสุด ชนะคะแนน คาร์ลอส คูเอดราส ในการชกรายการเดียวกันกับ ศรีสะเกษ เมื่อวันที่ 10 กย60 ที่สหรัฐอเมริกาเมื่อมาถึงคู่เอก เอสตราดา เดินขึ้นเวทีด้วยเสียงเชียร์จากแฟนมวยเม็กซิโกกระหึ่ม ขณะที่ เจ้าแหลม สวมชุดคลุมตัวใหม่สีเหลืองอร่าม ราคากว่าแสนบาท เดินขึ้นเวทีท่ามกลางเสียงโห่ของแฟนมวยเม็กซิกันเปิดเกมการชกยกแรก เจ้าแหลม เดินบุกเข้าหา เหวี่ยงหมัดซ้ายได้รุนแรง ขณะที่ เอสตราดา คอยดักโต้ด้วยขวาน่ากลัวเหมือนกัน ขึ้นยก 2 ศรีสะเกษ ยังบุกชวนแลกหมัด แต่ปลายยกพลาดโดนดักขวาตรง 2 หมัด ทำให้เสียงเชียร์แฟนมวยจังโก้เฮหนักทันที ยก 3 นักชกไทยเดินอัดคลำเป้าได้มากขึ้น ยก 4 แหลม เดินอัดลำตัวได้หนัก ๆ ปลายยกทิ่มซ้ายเข้าหน้าได้เต็ม ๆ อีก 2 หมัดแรง ๆ ยก 5 แหลม ยังเดิกต่อยได้หนักหน่วงรุนแรงชัดเจนกว่า ขึ้นยก 6 ศรีสะเกษ ยังชกได้เข้าเป้ารุนแรงชัดเจนกว่าเห็นชัดเจนขึ้นยก 7 เอสตราดา เดินเข้าหาบ้าง โดน แหลม ปักหลักดักทิ่มซ้ายขวาได้หนัก ๆ เหนือกว่า แต่ขึ้นยก 8 แลกกันสนุก ยกนี้ เอสตราดา กลับมาดูดีกว่า ยก 910 แลกกันสูสี ยก 11 ต้นยกทำดี แต่ แหลม มาพลาดโดนปลายยก2 หมัด ยกสุดท้ายแลกกันแบบใครดีใครอยู่ แหลม ได้ปลายยก ครบ 12 ยก แหลม ชนะคะแนน โดยมีให้เสมอ 1 คนที่ 114114 คะแนน ส่วนยอีก 2 คน ให้ ศรีสะเกษ ชนะ 115113 และ 117111 คะแนนป้องกันแชมป์โล wbc สำเร็จ พร้อมได้ครองเข็มขัดแชมป์โลกของ เดอะริง อีกเส้นส่วนคู่ประกอบรายการ อาเต็ม ดาลาเคียน นักชกยูเครน ชิงแชมป์โลกที่ว่างรุ่นฟลายเวต 112 ปอนด์ สมาคมมวยโลก WBA ชนะคะแนน ไบรอัน วิโลเรีย นักชกสหรัฐ จากฮาวาย เป็นเอกฉันท์ 118109 ทั้งสามเสียง ไอ้งูเหลือม ดอนนี เนียเตส จากฟิลิปปินส์ ป้องกันแชมป์โลกรุ่นฟลายเวต 112 ปอนด์ สหพันธ์มวยนานาชาติ IBF ชนะน็อก ฮวน คาร์ลอส เรเบโค จากอาร์เจนตินา ยก 7 ไอ้หลังลาย คาร์ลอส คูเอดราส เม็กซิโก คู่ปรับของ เจ้าแหลม ขึ้นชิงแชมป์เข็มขัดเงิน WBC รุ่นซูเปอร์ฟลายเวต 115 ปอนด์ แพ้คะแนน แม็ควิลเลียมส์ อาร์โรโย เปอร์โตริโก## ประวัติคร่าวๆ ของ ศรีสะเกษ นครหลวงโปรโมชั่น ##ศรีสะเกษ นครหลวงโปรโมชั่น มีชื่อจริงว่า สตตวิศักดิ์ศิลป์ วังเอก ชื่อเล่น ตั้ม แต่เพื่อนๆ ชอบเรียกว่า แหลม ตามลักษณะของใบหน้า เกิดเมื่อวันที่ 8 ธค2529 ที่ ตแต้ ออุทุมพรพิสัยจศรีสะเกษ สมาชิกในครอบครัวล้วนแต่เป็นนักมวยทั้งสิ้น โดยเป็นลูกชายคนโตจากลูกชายทั้งหมด 3 คน ของ นายเจียมศักดิ์ กับ นางหนูรัตน์ วังเอก จบการศึกษาเทียบเท่าระดับชั้น ม6 จากการศึกษานอกโรงเรียน กศน ปัจจุบันกำลังศึกษาระดับปริญญาตรี ที่คณะรัฐศาสตร์ มเฉลิมกาญจนา และได้รับบรรจุเข้าเป็นข้าราชการตำรวจ สังกัดตำรวจภูธร จศรีสะเกษ ในยศ สิบตำรวจตรีส่วนประวัติการชกมวย นั้น ศรีสะเกษ เคยชกมวยไทย ตั้งแต่อายุ 15 ปี ใช้ชื่อว่า ซูเปอร์เล็ก ศิษย์ประเทือง รับค่าตัวครั้งแรก 1000 บาท แต่ไม่ประสบความสำเร็จมากนัก จากนั้นตัดสินใจมุ่งหน้าเดินทางเข้ามาแสวงโชคที่กรุงเทพฯ ใช้ชื่อว่า วรวุฒิ วปศรีสะเกษ และ วรวุฒิ ศิษย์ทรายทอง ในสังกัด ศิษย์ทรายทองปี 2552 หันมาชกมวยสากลอาชีพ ด้วยการเดินทางไปชกที่ญี่ปุ่น พบกับ อะกิระ ยะเอะงะชิ นักชกเจ้าถิ่น ซึ่งศรีสะเกษ เป็นฝ่ายแพ้น็อกไปในยกที่ 3 ชก 8 ยก ต่อมา ยะเอะงะชิ ยังได้เป็นแชมป์โลก ในรุ่นมินิมั่มเวท 105 ปอนด์ ของสมาคมมวยโลกและแชมป์โลกรุ่นฟลายเวท 112 ปอนด์ ของสภามวยโลก อีกด้วยศรีสะเกษ เข้าสู่สังกัด นครหลวงโปรโมชั่น ของ เสี่ยฮุย สุรชาติ พิสิฐวุฒินันท์ โดยมีผู้สนับสนุนหลัก คือ ศรีสุข รุ่งวิสัย สมาชิกวุฒิสภา จศรีสะเกษ ได้แชมป์รุ่นซูเปอร์ฟลายเวท ของสภามวยโลกเอเชีย WBC ASIA มาก่อนในปี 2554 ก่อนจะป้องกันตำแหน่งไว้ได้ทั้งหมด 3 ครั้ง สลับกับการชกอุ่นเครื่องไฟต์ธรรมดาๆ ทำสถิติชนะน็อกรวด 17 ครั้งกระทั่ง สุริยัน ศรุ่งวิสัย นักมวยในสังกัดนครหลวงโปรโมชั่น ได้เสียแชมป์โลกรุ่นซูเปอร์ฟลายเวท ของสภามวยโลก ให้กับ โยตะ ซะโต นักมวยชาวญี่ปุ่น เดือน มีค2555 ต้นสังกัดจึงผลักดันให้ ศรีสะเกษ ขึ้นชิงแชมป์โลกรุ่นนี้แทน โดย ศรีสะเกษ ศรุ่งวิสัย ชนะทีเคโอ โยตะ ซะโต ต้นยกที่ 8 ในการขึ้นชิงแชมป์โลก ที่ประเทศไทยครั้งต่อมา ศรีสะเกษ เดินทางไปป้องกันแชมป์กับ คาร์ลอส คูเอดราส ผู้ท้าชิงชาวเม็กซิกัน ที่กรุงเม็กซิโกซิตี ประเทศเม็กซิโก ต้นยกที่ 8 ศีรษะของทั้งคู่ชนกัน ทำให้ คูเอดราส มีแผลแตกฉกรรจ์เหนือคิ้วซ้าย จนชกต่อไม่ได้ จึงต้องมีการรวมคะแนนกัน ปรากฏว่า ศรีสะเกษ เป็นฝ่ายแพ้คะแนนและเสียแชมป์โลก ไปอย่างน่าเจ็บใจอีกเกือบ 3 ปีต่อมา ศรีสะเกษ ได้ขึ้นชิงแชมป์โลกครั้งที่ 2 ในรุ่นเดิมและสถาบันเดิม กับ โรมัน กอนซาเลซ แชมป์โลกชาวนิคารากัว ที่สหรัฐอเมริกา วันที่ 19 มีค2560 ในฐานะรองแชมป์โลกอันดับ 1 การชกครั้งนี้ กอนซาเลซ เป็นแชมป์โลกมาแล้วถึง 4 รุ่น และเป็นนักมวยที่เก่งที่สุดในโลก เมื่อเทียบกันรุ่นต่อรุ่น เรียกได้ว่าในสานตาเซียมวย นักชกไทยเป็นรองสุดกู่ ชนิดที่ว่าไร้หนทางชนะแต่ปรากฏว่า ศรีสะเกษ เอาชนะ กอนซาเลซ ไปได้อย่างไม่เอกฉันท์ด้วยคะแนน 113113 กับ 114112 ทั้ง 2 เสียง กระทั่งมาถึงการป้องกันตำแหน่งสมัยที่ 2 ครั้งแรก กับคู่ปรับเก่า โรมัน กอนซาเลซ ที่สตับฮับเซนเตอร์ คาร์สัน แคลิฟอร์เนีย ในวันที่ 10 กย2560 ซึ่ง ศรีสะเกษ ซึ่งเป็นฝ่ายชนะทีเคโอยก 4 ไปอย่างสิ้นสงสัยชีวิตส่วนตัว ศรีสะเกษ มีภรรยาชื่อ น้องเก๋ พัชรีวรรณ กัณหา อยู่กินกันโดยไม่ได้แต่งงานกัน ในระยะแรกที่เดินทางเข้ามาในเมืองหลวง ทั้งคู่มีชีวิตความเป็นอยู่ที่ลำบากมาก ฝั่ง ศรีสะเกษ ก็ผ่านอาชีพมาแล้วหลากหลาย ทั้งพนักงานรักษาความปลอดภัย เก็บขยะขาย กระทั่งต้องเก็บอาหารในกองขยะกินก็ตามซึ่งหลังจากป้องกันแชมป์โลก ครั้งที่ 2 แล้ว เจ้าแหลม ได้รับการบรรจุเข้ารับราชการตำรวจในพื้นที่ จศรีสะเกษ บ้านเกิดของเขา โดยทั้งเจ้าแหลมและน้องเก๋ เตรียมเข้าสู่ประตูวิวาห์กันในเร็วๆ นี้ขอบคุณภาพจากทวิตเตอร์@HBOboxing  5'
406,'ศึกกอล์ฟพีจีเอ ทัวร์ รายการ เดอะ ฮอนด้า คลาสสิก ชิงเงินรางวัล 6 ล้านดอลลาร์สหรัฐ ราว 210 ล้านบาท ที่สนามพีจีเอ เนชันแนล แชมเปี้ยน พาร์ 70 ในปาล์ม บีช การ์เดน แคลิฟอร์เนีย สหรัฐอเมริกา หลังจบรอบ 3 พญาเสือ ไทเกอร์ วูดส์ อดีตโปรหมายเลข 1 โลก หวด 1 อันเดอร์พาร์ 69 เป็นการตีต่ำกว่า 70 ในพีจีเอ ทัวร์ เป็นครั้งแรกนับแต่ปี 2015 มีสกอร์รวมอีเวนพาร์ 210 รั้งอันดับ 11 ร่วมไทเกอร์ ยอมรับอย่างเสียดายว่าตนมีโอกาสที่จะทำผลงานได้ดีกว่านี้ แต่ขณะเดียวกันก็พอใจกับพัฒนาการของตัวเอง หลังการผ่าตัดรักษาอาการบาดเจ็บหลังครั้งที่ 4 เมื่อปีที่แล้ว นี่เพิ่งเป็นทัวร์นาเมนต์ที่ 3 ของผมในฤดูกาลนี้ มันยังไม่มากนัก ผมเล่นไปเท่าไรกัน 9 รอบในปีนี้ นั่นยังไม่เยอะและผมอดทนมามากทีเดียว ผมไม่อาจหงุดหงิดอะไรได้เพราะผมเล่นได้ดีมากสำหรับตำแหน่งผู้นำเป็นของ ลุค ลิสต์ โปรชาวอเมริกัน ที่ทำเพิ่ม 4 อันเดอร์พาร์ 66 สกอร์รวม 7 อันเดอร์พาร์ 203 นำหน้า จัสติน โธมัส และ เวบบ์ ซิมพ์สัน 2 เพื่อนร่วมชาติที่ไล่หลังสโตรกเดียว ส่วน เซร์คิโอ การ์เซีย แชมป์เก่า เดอะ มาสเตอร์ส ชาวสเปน 4 โอเวอร์พาร์ 214 ที่ 38 ร่วม โปรอาร์ม กิรเดช อภิบาลรัตน์ 7 โอเวอร์พาร์ 217 ที่ 63 ร่วมกับ รอรี แม็คอิลรอย แชมป์ 4 เมเจอร์จากไอร์แลนด์เหนือ                                                                  5'
407,'เสี่ยหมี โรมัน อับราโมวิช เจ้าของทีม สิงห์สำอาง เชลซี ทำเซอร์ไพรส์เล็งแต่งตั้ง หลุยส์ ฟาน กัล อดีตกุนซือชาวดัตช์ของ ผีแดง แมนฯ ยูไนเต็ด เข้ามาทำหน้าที่กุนซือคนใหม่ หากตัดสินใจไล่ อันโตนิโอ คอนเต กุนซือชาวอิตาเลียนออกจากตำแหน่ง ตามรายงานจาก เดลี มิร์เรอร์ เมื่อวันอาทิตย์ที่ผ่านมาฟาน กัล วัย 66 ปี ที่ยังคงว่างงานนับแต่โดน แมนฯ ยูไนเต็ด ปลดเมื่อ 20 เดือนก่อน เคยเผยว่าต้องการกลับไปทำงานในพรีเมียร์ลีกอีกครั้ง และน่าจะตอบรับข้อเสนอจาก เชลซี อย่างไรก็ตามเชื่อว่า ฟาน กัล จะเป็นเพียงกุนซือชั่วคราวระหว่างสรรหาผู้จัดการทีมถาวร                                                                  5'
408,'เออร์เนสโต บัลเบอร์เด ผู้จัดการทีม เจ้าบุญทุ่ม บาร์เซโลนา ปฏิเสธที่จะตอบว่า จอร์ดี อัลบา และ หลุยส์ ซัวเรซ จงใจทำฟาวล์เรียกใบเหลืองเพื่อหวังติดโทษแบนในนัดต่อไปหรือไม่ ในเกมที่เปิดบ้านถล่ม กิโรนา หายห่วง 61 ศึกลา ลีกา เมื่อวันเสาร์ที่ผ่านมานัดต่อไปของ บาร์ซา จะเจอกับ ลาส พัลมาส ทีมหนีตกชั้น ต่อด้วยเกมบิ๊กแมตช์กับ แอตฯ มาดริด ในสุดสัปดาห์หน้า ทำให้เชื่อว่า อัลบา และ ซัวเรซ ต้องการล้างใบเหลือง เพื่อไม่ต้องเสี่ยงติดโทษแบนในเกมกับ ตราหมี ซึ่งท้ายเกม อัลบา เรียกใบเหลืองได้สำเร็จจากการทำฟาวล์ ปาโบล มัฟเฟโอ แต่ขณะที่ ซัวเรซ ซึ่งยิงแฮตทริกพยายามไล่ทำฟาวล์อย่างโจ๋งครึ่มในช่วงทดเจ็บ ถึงขนาดชูมือให้กรรมการแจกใบเหลือง แต่กรรมการไม่สนองให้ และเป่าจบเกมในที่สุดเมื่อถูกถามถึงเหตุการณ์ที่ลูกทีมพยายามล้างใบเหลือง บัลเบอร์เด ตอบเลี่ยงๆ ว่า มันมีหลายจังหวะเกิดขึ้นในเกมและผู้ตัดสินเป็นผู้ตัดสินใจ ผมไม่มีอะไรต้องพูดเกี่ยวกับเรื่องนั้น หากเรามีนักเตะที่โดนแบนจากการสะสมใบเหลืองจนครบ คนอื่นจะได้เล่นแทนเกมนี้ ลีโอแนล เมสซี ซัวเรซ ฟิลิปเป คูตินโญ และ อุสมาน เดมเบเล ได้ออกสตาร์ตพร้อมกันเป็นครั้งแรก ซึ่ง บัลเบอร์เด แสดงความพอใจโดยเฉพาะ คูตินโญ ที่ยิงประตูได้แสดงให้เห็นว่ามีความมั่นใจมากขึ้นเรื่อยๆบาร์ซา เพิ่มสถิติไม่แพ้ใครในลีกเป็น 32 เกมติดต่อกัน ทำลายสถิติ 31 นัดในยุคของ เป๊ป กวาร์ดิโอลา ที่ทำไว้ในฤดูกาล 201011 และภายใต้การนำของ บัลเบอร์เด เพิ่งแพ้แค่ 3 นัด โดยแพ้ต่อ รีล มาดริด ในซูเปอร์โกปา 2 นัด และแพ้ เอสปันญอล ในถ้วยโกปา เดล เรย์ รอบ 8 ทีมนัดแรก                                                                  5'
